match_Id,game_duration,start_timestamp,champ_name,dam_to_buildings,kills,assists,deaths,kda,win,gold_earned,total_heal,total_dam_taken,total_dam_dealt,total_minions_killed,vision_score
NA1_4886422730,2206,1704850358472,DrMundo,1663,2,6,1,8,0,9875,13960,43108,106252,159,10
NA1_4886466215,2831,1704852858601,DrMundo,10057,18,17,5,7,1,19815,26285,109413,239148,200,8
NA1_4886532768,1108,1704856319976,Yorick,1475,2,4,3,2,1,7353,3482,12103,77188,122,3
NA1_4886558259,1305,1704857949194,DrMundo,2138,7,4,2,5.5,1,7925,6262,17747,74373,115,7
NA1_4886597799,2143,1704859930234,DrMundo,3229,3,16,3,6.33333,1,10877,12066,48646,109412,158,10
NA1_4887199728,1832,1704924513741,Yorick,11616,8,6,3,4.66667,1,14088,4355,22519,196414,211,9
NA1_4887240731,1513,1704926778327,DrMundo,5859,3,5,2,4,1,8230,6506,18523,72028,126,8
NA1_4887343677,1847,1704932011809,DrMundo,7109,13,13,3,8.66667,1,12559,11615,44000,109252,136,9
NA1_4887416887,1901,1704935245057,Yorick,9217,7,6,4,3.25,0,14178,7168,26755,186643,231,10
NA1_4887480689,918,1704938268481,DrMundo,0,3,1,2,2,1,4562,3240,13197,30068,62,2
NA1_4887541900,2267,1704940500823,DrMundo,999,9,11,4,5,0,14305,10321,48525,124858,192,10
NA1_4887698517,1504,1704946983921,DrMundo,2498,4,7,5,2.2,0,8898,7239,32489,78252,123,6
NA1_4887757820,1546,1704949240977,Yorick,9287,9,6,2,7.5,1,11997,4857,18078,129001,167,6
NA1_4887796369,1623,1704951149175,DrMundo,3386,8,3,3,3.66667,0,9696,8525,38601,95834,143,1
NA1_4887844086,1836,1704953524376,Yorick,3257,1,5,4,1.5,0,10202,3724,21936,139067,194,5
NA1_4887879217,2889,1704955927628,DrMundo,3438,2,15,1,17,0,14101,11991,57392,199278,231,13
NA1_4888742291,2756,1705029058555,DrMundo,4401,7,20,4,6.75,1,15646,17346,69625,169663,197,17
NA1_4888999855,2824,1705040677209,DrMundo,2708,3,21,4,6,1,14362,15544,57066,151838,136,8
NA1_4889659059,1210,1705103952382,DrMundo,0,0,0,2,0,0,5150,5798,16412,54883,111,8
NA1_4889691160,1681,1705105683675,Mordekaiser,2222,8,5,5,2.6,1,9631,7564,23091,79180,108,4
NA1_4889742099,1538,1705108277506,Mordekaiser,881,4,1,5,1,0,8475,2640,20345,72818,127,8
NA1_4893454591,1793,1705367644112,Mordekaiser,704,7,2,5,1.8,0,10316,6606,23237,72862,115,6
NA1_4893514022,2257,1705370067997,Mordekaiser,3905,9,9,4,4.5,1,13345,12109,33105,154081,182,18
NA1_4893576638,1608,1705372984112,Mordekaiser,2373,8,4,1,12,1,9852,8278,18459,100491,129,5
NA1_4895299172,2595,1705523775323,DrMundo,2823,16,12,2,14,0,16915,22250,79275,166149,168,9
NA1_4895701449,1292,1705548846780,DrMundo,2882,8,6,0,14,1,8224,7922,16227,74606,105,12
NA1_4896736236,1662,1705634392275,Mordekaiser,4057,8,1,0,9,1,11056,3921,10376,103647,174,11
NA1_4896784415,2550,1705636635371,Mordekaiser,1663,8,8,8,2,0,13618,12703,44630,114837,118,8
NA1_4896845649,628,1705639569067,DrMundo,0,0,0,1,0,0,2173,1344,3755,12757,28,3
NA1_4897625437,2713,1705711039553,Yorick,14539,3,6,4,2.25,1,15995,7689,28372,247157,276,16
